Item Code,Available Quantity,Item Name,Description,Serial Number, Date Acquired,Owner,Remarks 
6,3, , ,  ,2016-10-07,, 
7,10, ,tost,tost,2016-10-07,,tost
5,2, , ,  ,2016-10-07,, 
23, 12435, 1234, 2345, 4235,2016-12-31,, 2345
11,1,1,1,1,2016-10-12,,1
27,1,1,1,1,2016-10-26,1,1
12,2,2,22,2,2016-10-09,,2
18,2,2,2,2,2016-10-09,,2
13,33,3,3,3,2016-10-09,,3
19,3,3,3,3,2016-10-09,123,3
20,3,3,3,3,2016-10-09,,3
30,3,3 pops,3 pops,N/A,2016-10-12,Kit,N/A
26,32,3t,234,3244,2016-10-20,2344,234
14,4,4,4,4,2016-10-09,,4
16,5,5,5,5,2016-10-09,,5
15,5,5,5,5,2016-10-09,,5
17,6,6,66,6666,2016-10-09,,6
22,a,a,a,a,1293-12-31,,a
3,3,adf,adf,456789,2016-10-05,,adf
2,0,bottle,1liter,45678,2016-10-05,,empty
4,4,dfghjk,fjk,23456789,2016-10-07,,dfghjk
25,wer,eew,wer,ewr,2016-10-28,wer,wer
10,1,KI,assodifl,asdfjaso,2016-10-07,,asdfjasoij
24,1,laptop1,lenovo12,123456,2016-10-12,engr. patrick uno`12,good condition
1,2,sdfasdf,oh yeah,zxcvbn1234,2016-10-03,1,asdf
9,4,TAAAST,tyst,tyst,2016-10-07,,tyst
8,6,tust, ,tust,2016-10-07,,tust
29,2,two pops kit,two pops kit,two pops kit,2016-10-12,kit,two pops kit
